CASEID,OCCUPATION_COL,WORKTYPE_FINAL,SCIENCE_CLASSES,MATH_CLASSES,TALENT,PROVE,RESPECTA,RESPECTB,INTEREST1,STEMJOBA,STEMJOBB,REASON1A,REASON1B,REASON1C,REASON1D,REASON1E,REASON1F,REASON1G,TECH1,TECH2,TECH3,GEND1,GEND2,GEND3,GEND4,GEND5,HARASS1,HARASS2,HARASS3,GENDER,STEM_DEGREE,EDUCATION,INCOME_AVERAGE,AGE-1_CATEGORY,AGE-2_CATEGORY,EMPLOYED
3125,1,1,1,1,2,3,3,2,4,1,1,1,2,1,1,1,2,2,2,3,2,1,2,3,3,3,2,2,2,2,2,3,100000.0,55,64,1
3126,12,1,1,1,1,2,1,2,4,1,3,3,3,3,3,1,1,1,3,2,3,2,1,1,3,5,3,2,2,1,1,3,100000.0,45,54,1
3127,12,1,1,1,2,0,1,1,4,1,1,1,1,1,2,1,3,2,2,3,2,2,1,1,2,1,3,3,2,2,1,4,62499.5,45,54,1
3128,12,1,1,0,3,2,2,2,4,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,3,100000.0,65,74,1
3129,12,1,0,1,1,2,1,2,4,1,1,1,1,1,1,1,3,1,3,1,3,2,1,1,3,3,2,2,1,1,2,4,100000.0,65,74,1
3131,12,1,1,1,3,3,0,3,4,1,1,3,3,3,1,2,3,1,3,1,2,2,1,1,3,2,3,3,2,1,1,2,100000.0,45,54,1
3132,12,1,0,0,2,3,1,1,4,1,1,1,1,2,1,2,3,1,2,1,2,2,1,2,2,2,2,1,2,1,1,3,62499.5,45,54,1
3133,18,2,0,0,2,3,1,1,4,3,3,2,3,2,2,1,1,1,2,3,1,3,1,2,2,1,2,2,1,1,1,2,87499.5,25,34,1
3134,20,2,0,1,3,2,1,2,4,1,1,3,2,3,3,3,3,3,3,3,3,3,1,1,3,1,3,3,2,1,2,2,30000.0,45,54,1
3135,13,1,1,0,2,3,1,1,4,1,3,3,3,3,2,2,3,2,2,3,3,2,1,1,3,1,3,3,2,1,1,1,39999.5,35,44,1
3136,20,2,0,1,1,2,1,1,4,1,1,1,2,1,1,1,1,1,3,2,2,2,1,2,2,2,1,2,2,1,1,1,100000.0,55,64,1
3137,10,2,0,0,3,3,3,3,4,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,2,2,2,1,1,1,87499.5,25,34,1
3138,1,1,1,1,2,3,1,1,4,1,1,1,3,2,2,1,3,2,1,1,1,1,1,1,3,1,3,2,2,1,2,3,87499.5,25,34,1
3139,3,2,0,0,2,2,3,0,4,1,1,3,3,2,1,3,3,2,1,1,1,1,1,1,3,2,2,2,2,2,1,1,100000.0,45,54,1
3140,17,2,1,1,1,0,2,2,4,3,3,3,3,3,3,2,3,2,3,3,2,2,1,3,3,5,3,3,1,1,1,2,39999.5,25,34,1
3141,1,1,1,1,1,2,2,2,4,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,3,1,1,2,1,1,4,87499.5,35,44,1
3142,3,2,1,1,1,1,1,1,1,1,3,1,2,1,1,2,3,2,1,1,1,2,3,3,2,1,1,1,1,1,2,4,62499.5,55,64,1
3143,23,2,1,1,3,2,2,2,3,1,1,3,3,2,3,3,3,2,3,3,3,1,1,1,1,3,3,2,2,2,2,3,100000.0,45,54,1
3145,12,1,1,1,2,2,2,1,4,3,2,2,3,2,1,1,3,2,2,3,2,2,1,1,3,2,3,2,2,1,1,3,62499.5,25,34,1
3146,12,1,1,0,3,3,2,2,4,1,3,1,2,1,2,1,3,3,3,3,1,2,1,1,3,3,3,3,2,1,1,3,100000.0,55,64,1
3147,13,1,1,1,2,3,1,3,4,1,3,3,2,3,1,3,3,1,2,1,1,2,1,1,3,4,3,2,2,1,1,2,100000.0,55,64,1
3148,1,1,1,1,2,1,3,2,4,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,87499.5,55,64,1
3149,25,2,1,0,3,1,2,1,4,1,3,3,3,3,2,2,3,3,2,3,2,3,1,1,3,4,2,2,2,1,2,2,39999.5,45,54,1
3150,25,2,1,0,3,2,1,2,4,1,3,1,2,1,1,2,3,3,1,1,1,3,3,3,3,1,1,1,1,1,1,3,30000.0,25,34,1
3151,1,1,0,1,1,0,1,1,4,1,3,3,3,3,3,1,3,3,2,1,2,1,1,1,3,5,3,3,2,1,1,2,62499.5,55,64,1
3152,12,1,1,1,2,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,1,1,4,62499.5,35,44,1
3153,1,1,1,1,2,3,1,2,4,1,3,1,3,2,3,1,2,2,3,3,3,3,1,1,3,5,3,3,2,2,1,3,100000.0,55,64,1
3154,12,1,1,0,1,1,0,2,4,1,1,2,2,2,1,2,2,2,2,3,1,2,1,2,3,1,3,3,1,1,1,3,62499.5,25,34,1
3155,13,1,1,1,2,3,2,2,4,1,3,3,3,3,1,2,3,2,1,1,1,2,1,2,3,1,1,3,2,1,1,3,39999.5,25,34,1
3157,10,2,1,0,1,1,2,2,3,1,1,1,1,1,1,2,3,1,1,1,1,3,2,2,3,1,3,3,2,1,2,2,39999.5,45,54,1
3158,26,3,1,0,2,2,1,2,4,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,3,3,3,3,2,2,1,1,39999.5,35,44,0
3159,13,1,0,0,1,0,3,0,4,1,3,1,1,1,1,1,1,1,1,3,1,2,2,2,2,4,1,1,1,1,1,2,39999.5,55,64,1
3160,4,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,3,3,1,1,1,2,2,3,2,1,3,2,2,1,2,4,100000.0,35,44,1
3161,3,2,0,0,1,1,2,2,4,1,1,2,3,3,3,1,1,1,3,2,3,1,2,3,3,3,3,3,2,1,1,1,100000.0,45,54,1
3162,19,2,1,1,2,2,2,2,1,1,1,2,1,3,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,3,100000.0,45,54,1
3163,5,1,1,1,2,3,1,2,4,1,3,3,3,3,3,2,3,3,3,3,3,1,1,1,1,3,3,2,2,2,1,3,100000.0,55,64,1
3164,5,1,1,1,2,2,2,2,4,1,1,2,3,2,3,1,2,1,2,2,2,1,1,1,3,1,2,2,2,2,1,4,87499.5,65,74,1
3165,5,1,1,1,2,3,1,2,4,1,1,2,3,2,3,2,3,2,3,3,3,1,1,1,3,1,3,3,2,2,1,3,87499.5,25,34,1
3167,5,1,1,1,1,0,1,3,4,1,1,3,3,3,3,3,2,3,2,3,3,1,1,1,1,4,3,3,2,2,1,4,100000.0,35,44,1
3168,1,1,0,0,1,2,1,2,4,1,3,2,3,3,3,1,1,3,2,3,3,3,1,1,1,4,3,3,2,2,2,3,87499.5,35,44,1
3170,1,1,0,1,2,3,1,2,4,3,3,2,2,2,2,3,2,3,2,3,2,3,1,1,3,3,2,2,1,1,1,4,87499.5,25,34,1
3171,5,1,1,1,1,2,1,1,4,3,3,1,3,1,1,3,2,1,1,1,1,1,2,2,3,2,2,2,2,1,1,3,100000.0,45,54,1
3172,3,2,1,1,2,2,1,2,6,3,3,1,1,2,2,2,3,1,2,3,2,1,1,1,2,1,3,2,2,2,1,4,100000.0,55,64,1
3173,3,2,0,1,1,2,1,2,4,1,1,1,3,1,1,1,2,2,3,1,1,2,1,1,2,2,3,2,2,1,1,2,30000.0,55,64,1
3176,3,2,0,0,4,2,0,0,4,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,5,3,3,2,2,2,3,87499.5,45,54,1
3177,3,2,1,1,1,1,1,1,1,1,1,3,3,3,3,2,1,3,3,2,3,3,1,1,1,3,3,3,2,2,1,3,100000.0,25,34,1
3179,10,2,0,0,2,1,3,3,1,1,3,1,1,1,1,2,3,1,1,1,1,1,2,3,2,1,2,1,1,1,2,4,87499.5,45,54,1
3180,22,2,1,1,4,0,2,1,4,1,1,3,3,3,3,3,1,3,3,2,3,2,1,1,3,5,3,3,2,2,1,1,87499.5,55,64,1
3181,14,2,1,1,2,0,1,1,3,1,1,3,2,2,2,1,2,1,3,3,1,2,1,2,3,2,3,3,2,1,2,3,30000.0,65,74,1
3182,26,3,0,0,2,2,1,2,4,3,3,3,3,3,3,3,3,3,2,3,3,2,1,1,3,3,3,3,2,1,1,1,62499.5,55,64,0
3184,25,2,1,1,2,3,2,2,3,3,3,1,3,2,1,1,3,2,3,3,1,1,1,1,3,2,3,3,2,2,1,2,62499.5,25,34,1
3185,20,2,1,1,2,2,1,2,4,3,3,2,2,2,2,2,2,2,3,3,2,3,1,1,3,3,2,2,2,2,1,1,62499.5,45,54,1
3186,1,1,1,1,2,3,3,2,4,1,3,3,2,3,3,3,1,1,3,3,3,3,1,1,3,5,3,3,2,2,1,3,87499.5,45,54,1
3187,12,1,1,1,2,1,2,2,4,1,3,1,2,2,1,1,3,3,3,1,2,1,1,1,2,3,3,3,2,1,1,4,100000.0,25,34,1
3188,6,2,1,0,2,3,2,2,4,1,1,3,3,2,2,3,3,3,3,3,2,2,3,3,3,2,3,2,2,1,2,3,62499.5,25,34,1
3189,23,2,1,1,1,0,1,1,4,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,2,2,2,1,1,100000.0,55,64,1
3190,11,1,0,1,1,2,2,1,4,3,1,1,2,2,1,1,3,2,2,3,1,2,1,1,3,1,3,3,2,1,1,3,100000.0,55,64,1
3191,4,2,0,1,2,2,2,1,4,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,1,1,2,39999.5,35,44,1
3192,12,1,1,1,2,1,2,1,4,1,1,1,1,1,1,2,2,3,3,3,1,2,1,2,3,2,3,2,2,1,1,4,100000.0,35,44,1
3193,20,2,1,1,2,0,1,2,4,1,1,1,2,2,1,1,2,3,1,1,1,3,1,1,3,1,3,2,1,1,1,2,100000.0,55,64,1
3194,22,2,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,3,1,1,2,2,1,1,87499.5,35,44,1
3195,10,2,1,0,1,2,1,3,2,1,3,1,2,1,2,3,1,2,2,1,3,3,1,1,3,2,3,3,2,2,2,3,100000.0,25,34,1
3196,4,2,1,0,1,2,2,2,4,1,1,2,3,3,1,3,3,1,3,1,1,3,2,2,3,2,3,3,2,1,1,3,39999.5,35,44,1
3197,1,1,1,1,2,3,1,1,4,1,1,3,3,1,2,2,2,3,1,3,2,3,1,3,3,2,3,3,2,2,1,3,100000.0,35,44,1
3198,11,1,0,1,2,1,1,1,4,1,3,3,3,2,2,1,2,2,3,2,2,2,1,1,3,3,3,2,2,2,1,3,87499.5,45,54,1
3199,4,2,1,0,1,3,1,1,4,1,1,2,3,3,1,2,2,3,3,3,3,2,1,1,3,2,3,2,2,1,1,1,39999.5,65,74,1
3200,10,2,1,0,2,2,2,2,6,1,3,1,1,1,2,2,3,2,3,3,2,1,1,1,3,3,3,3,2,2,1,1,30000.0,25,34,1
3202,19,2,0,1,2,2,2,2,4,1,3,1,3,3,3,3,3,2,3,3,3,3,1,1,3,4,3,3,2,1,1,1,87499.5,55,64,1
3203,12,1,1,0,1,1,1,1,4,1,1,1,3,2,1,2,3,1,1,1,1,2,1,1,3,1,2,1,1,1,1,2,62499.5,55,64,1
3204,1,1,1,1,1,3,1,1,4,1,3,1,2,1,1,2,1,2,2,1,1,1,1,2,3,1,3,1,2,2,1,4,100000.0,35,44,1
3205,19,2,0,0,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,1,3,3,2,1,1,2,100000.0,55,64,1
3206,1,1,1,1,1,3,1,1,4,1,3,1,1,2,1,2,3,2,1,1,1,3,1,1,3,1,2,1,2,2,1,4,100000.0,35,44,1
3207,4,2,0,1,2,3,1,1,4,3,3,3,2,3,2,2,2,3,3,3,2,2,2,2,2,2,3,3,2,1,1,1,87499.5,55,64,1
3208,25,2,1,0,2,2,0,3,3,2,3,2,3,3,3,3,2,2,3,3,3,1,2,2,2,2,3,3,2,2,1,1,100000.0,55,64,1
3209,25,2,1,1,2,2,2,2,3,1,1,2,2,2,2,3,2,2,3,3,1,2,1,1,3,2,3,3,2,1,1,1,39999.5,45,54,1
3210,12,1,1,0,4,2,0,0,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,5,3,2,2,1,1,2,62499.5,55,64,1
3213,12,1,1,0,2,1,2,2,4,1,1,1,1,1,1,1,3,2,2,1,1,3,2,2,1,2,3,2,2,1,1,3,100000.0,55,64,1
3215,5,1,1,1,1,3,2,2,4,1,1,3,2,1,3,3,1,3,2,2,3,1,1,1,3,5,3,3,2,2,1,2,100000.0,55,64,1
3216,4,2,0,0,1,3,1,1,3,1,1,1,2,1,1,2,3,2,1,1,1,2,1,1,2,2,3,3,1,1,2,3,87499.5,55,64,1
3217,22,2,0,1,2,2,2,2,4,1,1,3,3,3,3,3,3,2,3,3,3,1,1,1,1,4,3,3,2,2,1,1,100000.0,55,64,1
3218,1,1,1,0,1,2,1,1,4,1,3,2,1,3,1,2,3,3,2,3,2,1,2,3,2,2,3,1,2,2,2,3,100000.0,35,44,1
3219,6,2,1,0,1,2,1,2,2,3,1,1,1,1,1,1,1,1,2,3,1,3,1,1,3,5,3,3,2,2,1,1,39999.5,45,54,1
3220,22,2,1,1,1,3,1,1,2,1,1,1,3,3,2,1,1,1,2,3,1,1,2,2,3,1,3,3,2,2,1,1,30000.0,45,54,1
3221,11,1,1,1,1,2,1,2,4,1,3,3,3,3,3,2,3,1,2,3,2,2,1,1,3,1,3,3,2,2,1,4,87499.5,65,74,1
3222,10,2,0,1,2,2,1,1,1,3,3,2,2,3,2,2,3,3,2,3,2,2,1,1,3,2,3,3,2,1,1,4,100000.0,35,44,1
3224,5,1,1,1,2,1,3,2,4,1,1,1,1,1,2,3,2,1,1,1,1,1,2,2,2,2,3,1,2,1,1,3,87499.5,18,24,1
3225,23,2,1,1,2,3,2,1,2,1,1,2,1,2,2,2,1,1,2,3,1,2,2,2,2,1,2,1,1,2,1,2,39999.5,45,54,1
3226,20,2,1,0,2,2,2,2,2,1,3,1,2,1,2,2,3,1,2,3,2,1,2,2,1,2,3,3,2,1,2,3,100000.0,55,64,1
3227,4,2,1,1,2,2,2,2,6,3,3,1,2,2,2,2,3,3,2,1,1,2,2,2,3,2,3,2,2,1,2,3,100000.0,45,54,1
3229,12,1,1,0,3,2,1,2,4,1,1,1,1,1,1,1,3,1,1,1,1,2,2,2,3,2,2,2,2,1,2,4,100000.0,35,44,1
3230,23,2,1,1,3,2,1,2,4,1,1,1,2,2,2,1,1,3,3,3,2,3,1,1,3,3,3,3,2,2,2,3,87499.5,55,64,1
3231,1,1,1,0,3,2,2,3,4,1,1,2,2,2,1,1,3,2,2,1,1,3,1,3,2,1,1,2,1,1,1,2,39999.5,45,54,1
3234,14,2,0,1,2,3,1,2,4,1,1,1,3,3,1,3,3,3,2,3,1,2,1,1,3,3,2,2,2,1,1,2,30000.0,65,74,1
3235,22,2,1,1,2,1,2,3,3,3,3,1,1,1,1,1,1,1,3,3,2,1,1,1,3,1,2,3,2,2,1,2,100000.0,55,64,1
3236,11,1,1,0,2,3,1,1,4,3,2,2,1,3,1,2,3,1,1,1,1,3,3,2,3,1,3,3,2,1,1,4,100000.0,25,34,1
3238,12,1,1,0,2,1,2,5,4,1,3,3,3,3,1,3,3,1,2,3,1,2,1,1,3,3,1,1,1,1,1,3,100000.0,35,44,1
3239,5,1,1,1,4,1,1,1,4,1,1,2,1,3,3,2,2,3,3,2,3,1,1,1,3,1,3,3,2,2,1,4,100000.0,55,64,1
3240,26,3,1,1,2,2,1,2,4,1,1,2,3,3,1,2,3,1,2,1,2,2,1,1,3,3,3,3,2,2,1,1,30000.0,18,24,0
3241,1,1,1,1,1,3,3,3,4,1,3,2,2,2,3,1,2,3,3,3,3,1,1,1,3,5,3,2,2,2,1,3,100000.0,55,64,1
3242,16,2,1,1,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,2,3,3,2,2,1,1,30000.0,18,24,1
3243,8,2,1,0,3,2,1,2,1,3,2,1,2,1,3,1,3,2,2,3,1,2,1,1,3,3,3,3,2,1,2,3,87499.5,55,64,1
3244,12,1,1,0,2,1,1,2,4,1,3,3,1,3,2,3,3,2,3,3,2,2,2,2,3,1,3,2,2,1,1,4,100000.0,45,54,1
3245,3,2,1,0,2,2,2,2,2,1,1,1,3,1,1,1,2,2,3,3,2,3,1,2,3,3,3,3,2,2,2,2,100000.0,55,64,1
3247,12,1,1,1,1,1,2,2,4,1,3,1,1,2,1,1,3,3,2,3,1,2,1,2,2,2,3,2,1,1,1,2,39999.5,65,74,1
3248,19,2,1,1,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,1,2,1,1,87499.5,25,34,1
3249,5,1,1,1,1,0,1,1,4,1,1,1,2,1,1,1,3,1,2,3,2,3,2,1,2,2,3,2,2,2,1,4,100000.0,55,64,1
3250,12,1,1,1,1,2,1,2,4,1,1,1,2,1,1,2,3,2,1,1,1,2,1,1,3,2,3,3,2,1,1,3,100000.0,65,74,1
3251,8,2,0,0,3,1,2,2,4,1,1,2,2,2,2,2,2,1,2,3,2,2,1,1,2,1,2,2,2,1,1,2,100000.0,18,24,1
3252,12,1,1,1,3,2,1,1,4,1,3,1,1,2,2,1,2,2,2,3,2,2,1,1,3,4,3,3,1,1,1,4,87499.5,55,64,1
3253,22,2,0,1,2,2,2,2,3,1,1,3,3,3,3,1,3,3,3,1,3,1,1,1,3,3,3,3,2,2,1,1,87499.5,18,24,1
3254,16,2,1,1,2,0,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,1,3,2,2,2,2,3,30000.0,25,34,1
3255,11,1,1,1,3,3,1,1,4,1,3,3,1,2,2,1,3,1,2,2,3,1,1,1,3,4,2,2,2,2,1,4,87499.5,45,54,1
3257,23,2,1,0,1,2,3,0,3,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3,3,3,1,2,2,1,2,87499.5,45,54,1
3258,12,1,0,1,3,3,1,1,4,1,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,2,2,2,1,1,2,87499.5,35,44,1
3259,4,2,1,1,2,2,3,2,3,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,2,2,1,1,100000.0,18,24,1
3260,1,1,5,1,2,2,1,2,4,1,3,2,2,3,2,2,3,2,1,1,1,2,1,1,3,2,3,2,2,2,1,4,87499.5,25,34,1
3261,4,2,1,1,2,3,1,1,4,1,3,1,2,2,2,1,2,2,3,3,3,3,1,1,3,3,2,2,2,2,2,4,100000.0,55,64,1
3262,15,2,1,0,2,1,1,1,2,1,1,1,3,2,2,3,3,2,3,2,1,1,1,1,3,1,1,1,2,2,1,2,39999.5,25,34,1
3263,10,2,1,1,2,3,2,3,1,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,3,2,1,1,2,87499.5,55,64,1
3264,17,2,1,0,3,3,1,1,4,3,3,1,3,2,2,1,1,2,1,2,2,3,1,1,3,5,3,3,2,2,1,1,30000.0,25,34,1
3265,5,1,1,1,1,2,1,2,4,1,3,1,1,2,1,2,2,2,1,1,1,1,2,1,3,4,3,2,2,1,1,4,87499.5,25,34,1
3266,12,1,1,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,3,62499.5,25,34,1
3267,20,2,1,1,2,3,1,2,4,3,3,2,2,1,1,2,2,2,2,1,3,2,1,1,3,4,3,3,2,1,1,1,39999.5,45,54,1
3269,3,2,0,0,1,2,1,2,4,1,3,3,3,3,3,3,1,3,1,2,3,3,1,1,3,4,3,3,2,2,2,3,39999.5,25,34,1
3271,22,2,1,1,1,2,1,2,4,1,1,2,1,3,2,1,1,2,3,3,1,1,2,2,3,2,3,2,2,2,1,2,39999.5,55,64,1
3273,1,1,1,1,1,0,1,1,4,1,1,3,3,3,3,3,3,3,3,2,3,1,1,1,3,4,3,3,2,2,1,1,87499.5,55,64,1
3274,22,2,1,0,1,1,1,1,3,1,3,1,3,2,3,1,3,1,3,3,3,1,1,1,2,3,3,2,2,2,1,1,39999.5,35,44,1
3275,12,1,1,0,3,2,2,2,4,2,2,2,2,2,3,2,1,2,2,2,2,3,2,2,3,4,2,2,2,1,1,4,39999.5,35,44,1
3276,12,1,0,1,2,3,2,1,4,1,1,2,2,3,2,3,3,2,1,1,1,2,1,2,3,2,2,2,1,1,1,3,87499.5,25,34,1
3277,20,2,1,1,1,2,1,3,1,1,3,1,3,1,2,2,3,3,3,3,3,3,1,1,3,5,3,3,2,1,1,2,39999.5,45,54,1
3278,10,2,0,0,1,1,2,3,2,2,1,1,1,1,1,2,2,1,2,3,1,2,1,1,3,2,3,2,2,2,2,2,87499.5,45,54,1
3279,25,2,1,1,4,3,2,2,3,3,1,3,3,3,3,3,3,2,3,3,3,1,1,1,1,5,2,2,2,2,1,1,100000.0,55,64,1
3280,8,2,0,1,1,2,2,1,2,1,3,3,3,3,3,2,1,3,2,3,2,2,1,1,3,4,3,3,2,1,2,4,39999.5,45,54,1
3281,20,2,1,0,4,0,2,3,3,1,1,1,2,1,2,2,3,2,2,3,2,2,1,1,2,2,3,3,2,1,2,3,100000.0,25,34,1
3282,20,2,1,1,1,2,1,1,4,1,3,3,3,3,2,2,3,1,3,3,2,2,2,2,3,2,3,3,2,1,1,2,87499.5,45,54,1
3284,1,1,1,0,2,0,1,1,4,1,1,3,2,2,3,2,2,2,2,3,2,2,1,1,3,4,2,2,2,1,2,3,62499.5,35,44,1
3285,10,2,1,0,1,1,2,1,3,1,1,1,1,2,1,2,3,1,1,1,1,3,2,2,3,1,3,2,1,1,2,3,30000.0,25,34,1
3286,1,1,1,1,2,2,2,2,4,1,1,3,3,2,2,3,1,3,2,2,3,1,1,1,3,2,3,3,2,2,1,4,100000.0,55,64,1
3287,8,2,0,1,2,2,2,2,4,1,1,3,3,3,3,2,2,1,2,3,3,2,1,1,3,3,3,3,2,2,2,3,87499.5,25,34,1
3288,12,1,1,0,1,0,1,1,4,1,1,2,2,2,2,2,3,3,2,3,2,2,1,1,3,2,3,3,2,1,1,4,100000.0,55,64,1
3290,8,2,1,1,2,2,2,2,3,3,3,2,2,2,2,2,2,1,2,3,2,3,1,1,3,3,3,3,2,1,2,4,87499.5,55,64,1
3292,4,2,1,0,2,1,2,1,2,1,1,2,3,3,2,1,2,1,2,2,2,2,1,2,3,3,3,3,2,1,1,1,100000.0,55,64,1
3293,17,2,0,0,1,3,0,0,6,3,2,2,2,1,3,3,2,3,3,3,3,3,3,3,3,5,3,3,2,2,1,1,30000.0,55,64,1
3294,5,1,1,1,2,1,2,2,4,3,1,3,3,3,3,2,1,2,1,2,3,1,1,1,1,2,2,2,2,2,1,3,100000.0,55,64,1
3295,12,1,1,1,3,0,2,2,4,3,3,3,3,3,2,3,1,2,2,3,2,2,1,1,3,3,3,3,2,1,1,2,30000.0,55,64,1
3296,15,2,1,1,2,3,2,2,2,1,3,3,3,3,2,3,3,2,3,3,2,3,1,1,3,2,3,3,2,2,2,4,87499.5,35,44,1
3298,20,2,1,1,2,0,2,1,3,1,1,3,3,3,3,2,3,2,3,2,3,2,2,2,3,3,3,3,2,1,1,1,39999.5,65,74,1
3299,26,3,1,1,2,2,1,2,4,1,3,1,1,1,1,1,1,1,1,3,1,2,1,1,3,2,3,3,2,2,1,2,100000.0,65,74,0
3300,20,2,0,1,1,3,1,1,4,1,3,1,3,1,1,2,3,2,3,1,2,3,1,2,3,2,3,3,2,1,2,4,100000.0,35,44,1
3302,1,1,0,0,4,0,2,3,4,1,1,2,2,2,2,2,2,2,3,3,3,3,1,1,3,2,3,1,2,2,1,3,62499.5,45,54,1
3303,12,1,1,1,2,3,2,2,4,1,3,2,3,1,1,3,2,1,2,3,3,2,1,2,2,3,3,3,2,1,1,2,87499.5,65,74,1
3304,12,1,1,1,2,1,3,3,4,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,2,1,1,3,62499.5,55,64,1
3305,12,1,0,1,1,3,1,1,4,1,3,1,1,2,2,3,2,3,2,3,2,2,1,2,3,3,3,3,2,1,1,3,87499.5,55,64,1
3307,12,1,0,1,1,3,1,1,4,1,1,3,2,1,1,3,2,1,2,3,1,2,1,2,3,2,3,3,2,1,1,3,87499.5,35,44,1
3308,12,1,1,0,2,0,1,1,4,1,1,2,2,1,1,2,3,2,2,3,2,2,1,1,3,2,3,3,2,1,1,3,100000.0,45,54,1
3310,16,2,0,1,1,2,1,2,3,1,3,3,2,3,3,3,3,3,3,3,3,3,1,1,3,3,3,1,1,2,2,4,62499.5,25,34,1
3311,10,2,0,0,2,2,1,1,4,1,1,1,3,2,2,1,3,3,2,3,2,3,1,1,3,3,3,3,2,2,2,3,87499.5,35,44,1
3312,12,1,1,1,1,3,1,1,4,3,1,2,3,2,2,3,1,1,2,3,2,3,1,1,3,2,3,3,2,1,1,4,39999.5,45,54,1
3313,11,1,1,1,2,2,2,2,4,3,3,2,3,2,2,2,3,2,2,3,2,1,1,2,3,3,3,3,2,2,1,4,62499.5,25,34,1
3314,1,1,1,1,1,0,1,1,4,1,1,3,2,2,3,2,3,1,2,3,2,3,1,1,3,3,3,3,1,1,1,2,30000.0,55,64,1
3316,3,2,0,0,2,2,1,1,4,1,1,1,2,2,2,3,2,3,2,1,1,1,1,1,3,1,3,3,2,1,1,3,100000.0,45,54,1
3317,3,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,39999.5,45,54,1
3318,3,2,0,0,1,2,1,2,2,1,1,2,3,2,3,2,2,1,2,2,3,3,1,1,3,5,3,3,2,2,1,1,100000.0,55,64,1
3320,3,2,0,1,3,3,1,2,2,3,3,1,1,3,1,3,3,3,2,3,2,3,1,2,3,2,3,3,2,1,1,4,100000.0,55,64,1
3321,18,2,0,0,4,1,3,3,4,1,1,2,2,3,1,2,3,2,2,1,1,2,3,1,3,3,3,3,1,1,1,1,87499.5,35,44,1
3322,4,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,2,1,3,2,2,2,1,4,100000.0,55,64,1
3324,19,2,1,1,2,1,1,0,2,1,2,3,3,3,3,3,3,3,2,3,3,3,1,1,1,5,3,2,2,2,1,2,87499.5,55,64,1
3325,17,2,1,1,1,3,1,1,1,1,1,3,3,3,2,3,1,2,3,3,3,3,1,1,3,2,2,3,2,2,1,3,87499.5,55,64,1
3326,3,2,0,0,2,2,3,1,4,1,1,3,1,1,2,2,1,1,3,3,2,1,1,3,2,2,3,3,2,1,2,4,100000.0,45,54,1
3327,16,2,1,0,2,1,3,3,3,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,5,2,2,2,2,1,1,30000.0,18,24,1
3328,26,3,1,1,2,2,1,2,4,3,3,2,2,2,3,3,3,2,3,3,2,2,1,1,3,2,3,3,2,2,2,3,100000.0,55,64,0
3329,25,2,0,0,1,2,1,2,4,3,3,1,1,1,1,1,1,1,2,1,1,2,3,3,2,1,2,2,2,2,1,2,30000.0,55,64,1
3330,12,1,1,1,1,3,1,1,4,2,2,2,1,2,1,2,3,2,1,1,1,2,1,1,3,2,3,2,2,1,1,4,100000.0,35,44,1
3331,22,2,0,0,4,2,1,2,4,3,1,2,2,3,3,2,2,1,3,3,3,3,3,3,3,5,3,3,2,1,1,1,62499.5,65,74,1
3332,13,1,1,1,1,2,1,2,4,3,1,1,3,2,1,3,3,2,1,3,1,3,1,1,3,2,3,2,2,2,1,3,62499.5,25,34,1
3333,4,2,0,1,1,2,1,2,3,1,3,3,3,3,3,3,1,3,3,3,3,3,1,1,3,4,3,3,2,1,2,3,100000.0,45,54,1
